flowId,src,dst,proto,sPort,dPort,tx,rx,lost,throughput_Mbps,avgDelay_ms,avgJitter_ms
1,10.0.8.1,10.0.1.2,17,49153,9,40,40,0,0.008857,9.313680,0.000000
2,10.0.1.2,10.0.8.1,17,9,49153,40,40,0,0.008857,9.313680,0.000000
3,10.0.16.2,10.0.6.2,17,49153,8080,512,276,8,4.753833,151.093142,2.510359
4,10.0.13.2,10.0.6.2,17,49153,8080,768,169,14,2.945136,241.518554,2.338876
5,10.0.3.1,10.0.2.2,17,49153,8080,768,768,0,62.789126,17.464860,0.121150
6,10.0.17.2,10.0.2.2,17,49153,8080,512,122,8,2.204886,255.431030,3.052245
7,10.0.15.2,10.0.2.2,17,49153,8080,512,222,7,4.051060,158.245117,2.071754
8,10.0.1.1,10.0.6.2,17,49153,8080,1280,1280,0,25.486725,16.836624,0.151301
9,10.0.4.2,10.0.9.2,17,49153,8080,256,238,5,4.638441,146.643198,1.796692
10,10.0.12.2,10.0.2.2,17,49153,8080,256,100,6,1.980306,244.826688,3.347248
11,10.0.1.2,10.0.9.2,17,49153,8080,1024,122,6,2.441658,224.493487,2.696846
12,10.0.5.1,10.0.6.2,17,49153,8080,512,512,0,20.213853,13.419440,0.126232
13,10.0.4.2,10.0.2.2,17,49153,8080,256,256,0,94.346801,12.085120,0.084320
14,10.0.11.2,10.0.2.2,17,49153,8080,512,80,5,1.807393,224.522260,3.554248
15,10.0.2.1,10.0.2.2,17,49153,8080,512,512,0,19.424230,12.085120,0.126232
16,10.0.8.1,10.0.6.2,17,49154,8080,768,40,7,0.938556,259.855760,4.626790
17,10.0.18.2,10.0.6.2,17,49153,8080,768,35,6,0.874492,252.756514,4.811200
18,10.0.17.2,10.0.6.2,17,49153,8080,256,35,6,0.889087,247.491920,4.786400
19,10.0.10.2,10.0.9.2,17,49153,8080,256,256,0,88.774323,12.505073,0.089941
20,10.0.3.1,10.0.9.2,17,49153,8080,512,63,4,1.672661,195.456767,3.644800
21,10.0.11.1,10.0.6.2,17,49153,8080,512,29,4,0.779386,242.901917,4.848400
22,10.0.5.2,10.0.9.2,17,49153,8080,256,59,3,1.621943,192.309440,3.692634
23,10.0.17.2,10.0.9.2,17,49153,8080,512,49,3,1.557025,211.663304,3.582130
24,10.0.6.1,10.0.6.2,17,49153,8080,256,256,0,94.346801,12.085120,0.084320
25,10.0.0.1,10.0.6.2,17,49153,8080,256,256,0,76.933757,17.253760,0.084320
26,10.0.5.2,10.0.2.2,17,49153,8080,512,512,0,84.208946,13.419440,0.126232
27,10.0.2.1,10.0.9.2,17,49153,8080,512,28,1,1.188937,143.934697,3.966163
28,10.0.18.1,10.0.2.2,17,49153,8080,256,22,2,1.040839,134.884000,3.975086
29,10.0.18.1,10.0.9.2,17,49153,8080,256,2,0,0.167416,100.118607,0.843200
30,10.0.12.2,10.0.9.2,17,49153,8080,256,256,0,85.037212,14.585120,0.084320
31,10.0.8.1,10.0.2.2,17,49154,8080,256,0,0,0.000000,0.000000,0.000000
32,10.0.14.2,10.0.9.2,17,49153,8080,256,185,0,77.950712,11.883485,0.086611
