hour,minute,price
0,0,2.34
0,5,2.3604
0,10,2.3808
0,15,2.4012
0,20,2.4216
0,25,2.4419
0,30,2.4622
0,35,2.4824
0,40,2.5025
0,45,2.5226
0,50,2.5426
0,55,2.5625
1,0,2.5823
1,5,2.6019
1,10,2.6215
1,15,2.6409
1,20,2.6601
1,25,2.6792
1,30,2.6982
1,35,2.717
1,40,2.7356
1,45,2.754
1,50,2.7722
1,55,2.7902
2,0,2.808
2,5,2.8256
2,10,2.8429
2,15,2.86
2,20,2.8769
2,25,2.8935
2,30,2.9098
2,35,2.9259
2,40,2.9416
2,45,2.9571
2,50,2.9724
2,55,2.9873
3,0,3.0019
3,5,3.0161
3,10,3.0301
3,15,3.0437
3,20,3.057
3,25,3.07
3,30,3.0826
3,35,3.0948
3,40,3.1067
3,45,3.1183
3,50,3.1294
3,55,3.1402
4,0,3.1506
4,5,3.1606
4,10,3.1702
4,15,3.1795
4,20,3.1883
4,25,3.1967
4,30,3.2048
4,35,3.2124
4,40,3.2196
4,45,3.2263
4,50,3.2327
4,55,3.2386
5,0,3.2441
5,5,3.2492
5,10,3.2538
5,15,3.258
5,20,3.2618
5,25,3.2651
5,30,3.268
5,35,3.2704
5,40,3.2724
5,45,3.274
5,50,3.2751
5,55,3.2758
6,0,3.276
6,5,3.2758
6,10,3.2751
6,15,3.274
6,20,3.2724
6,25,3.2704
6,30,3.268
6,35,3.2651
6,40,3.2618
6,45,3.258
6,50,3.2538
6,55,3.2492
7,0,3.2441
7,5,3.2386
7,10,3.2327
7,15,3.2263
7,20,3.2196
7,25,3.2124
7,30,3.2048
7,35,3.1967
7,40,3.1883
7,45,3.1795
7,50,3.1702
7,55,3.1606
8,0,3.1506
8,5,3.1402
8,10,3.1294
8,15,3.1183
8,20,3.1067
8,25,3.0948
8,30,3.0826
8,35,3.07
8,40,3.057
8,45,3.0437
8,50,3.0301
8,55,3.0161
9,0,3.0019
9,5,2.9873
9,10,2.9724
9,15,2.9571
9,20,2.9416
9,25,2.9259
9,30,2.9098
9,35,2.8935
9,40,2.8769
9,45,2.86
9,50,2.8429
9,55,2.8256
10,0,2.808
10,5,2.7902
10,10,2.7722
10,15,2.754
10,20,2.7356
10,25,2.717
10,30,2.6982
10,35,2.6792
10,40,2.6601
10,45,2.6409
10,50,2.6215
10,55,2.6019
11,0,2.5823
11,5,2.5625
11,10,2.5426
11,15,2.5226
11,20,2.5025
11,25,2.4824
11,30,2.4622
11,35,2.4419
11,40,2.4216
11,45,2.4012
11,50,2.3808
11,55,2.3604
12,0,2.34
12,5,2.3196
12,10,2.2992
12,15,2.2788
12,20,2.2584
12,25,2.2381
12,30,2.2178
12,35,2.1976
12,40,2.1775
12,45,2.1574
12,50,2.1374
12,55,2.1175
13,0,2.0977
13,5,2.0781
13,10,2.0585
13,15,2.0391
13,20,2.0199
13,25,2.0008
13,30,1.9818
13,35,1.963
13,40,1.9444
13,45,1.926
13,50,1.9078
13,55,1.8898
14,0,1.872
14,5,1.8544
14,10,1.8371
14,15,1.82
14,20,1.8031
14,25,1.7865
14,30,1.7702
14,35,1.7541
14,40,1.7384
14,45,1.7229
14,50,1.7076
14,55,1.6927
15,0,1.6781
15,5,1.6639
15,10,1.6499
15,15,1.6363
15,20,1.623
15,25,1.61
15,30,1.5974
15,35,1.5852
15,40,1.5733
15,45,1.5617
15,50,1.5506
15,55,1.5398
16,0,1.5294
16,5,1.5194
16,10,1.5098
16,15,1.5005
16,20,1.4917
16,25,1.4833
16,30,1.4752
16,35,1.4676
16,40,1.4604
16,45,1.4537
16,50,1.4473
16,55,1.4414
17,0,1.4359
17,5,1.4308
17,10,1.4262
17,15,1.422
17,20,1.4182
17,25,1.4149
17,30,1.412
17,35,1.4096
17,40,1.4076
17,45,1.406
17,50,1.4049
17,55,1.4042
18,0,1.404
18,5,1.4042
18,10,1.4049
18,15,1.406
18,20,1.4076
18,25,1.4096
18,30,1.412
18,35,1.4149
18,40,1.4182
18,45,1.422
18,50,1.4262
18,55,1.4308
19,0,1.4359
19,5,1.4414
19,10,1.4473
19,15,1.4537
19,20,1.4604
19,25,1.4676
19,30,1.4752
19,35,1.4833
19,40,1.4917
19,45,1.5005
19,50,1.5098
19,55,1.5194
20,0,1.5294
20,5,1.5398
20,10,1.5506
20,15,1.5617
20,20,1.5733
20,25,1.5852
20,30,1.5974
20,35,1.61
20,40,1.623
20,45,1.6363
20,50,1.6499
20,55,1.6639
21,0,1.6781
21,5,1.6927
21,10,1.7076
21,15,1.7229
21,20,1.7384
21,25,1.7541
21,30,1.7702
21,35,1.7865
21,40,1.8031
21,45,1.82
21,50,1.8371
21,55,1.8544
22,0,1.872
22,5,1.8898
22,10,1.9078
22,15,1.926
22,20,1.9444
22,25,1.963
22,30,1.9818
22,35,2.0008
22,40,2.0199
22,45,2.0391
22,50,2.0585
22,55,2.0781
23,0,2.0977
23,5,2.1175
23,10,2.1374
23,15,2.1574
23,20,2.1775
23,25,2.1976
23,30,2.2178
23,35,2.2381
23,40,2.2584
23,45,2.2788
23,50,2.2992
23,55,2.3196
