flowId,src,dst,proto,sPort,dPort,tx,rx,lost,throughput_Mbps,avgDelay_ms,avgJitter_ms
1,10.0.9.1,10.0.9.2,6,49153,8080,121886,121886,0,23.413356,4.016880,0.027731
2,10.0.12.2,10.0.2.2,6,49153,8080,23233,23221,12,4.472511,35.162416,0.352034
3,10.0.18.2,10.0.6.2,6,49153,8080,26625,26619,6,5.125010,51.130131,0.346139
4,10.0.10.2,10.0.9.2,6,49153,8080,114643,114641,2,22.020950,9.147046,0.059366
5,10.0.18.1,10.0.2.2,6,49153,8080,26133,26126,7,5.043915,35.468441,0.360251
6,10.0.17.2,10.0.6.2,6,49153,8080,25147,25140,7,4.837882,50.900291,0.326939
7,10.0.5.2,10.0.9.2,6,49153,8080,23669,23661,8,4.586976,29.348099,0.412590
8,10.0.4.2,10.0.2.2,6,49153,8080,123031,123031,0,23.618920,8.899603,0.058732
9,10.0.0.1,10.0.6.2,6,49153,8080,123794,123794,0,23.715255,8.415725,0.057137
10,10.0.2.1,10.0.9.2,6,49153,8080,25149,25140,9,4.844031,27.123440,0.398129
11,10.0.1.2,10.0.2.2,6,49153,8080,104554,104554,0,20.037317,8.265195,0.058314
12,10.0.9.2,10.0.10.2,6,8080,49153,57707,57707,0,1.001550,1.255313,0.001972
13,10.0.2.2,10.0.4.2,6,8080,49153,61520,61520,0,1.066292,1.254324,0.000008
14,10.0.9.2,10.0.9.1,6,8080,49153,60951,60951,0,1.055997,1.769927,0.000000
15,10.0.6.2,10.0.18.2,6,8080,49153,13529,13529,0,0.231507,2.705799,0.157515
16,10.0.6.2,10.0.17.2,6,8080,49153,12811,12811,0,0.219290,2.586880,0.000018
17,10.0.2.2,10.0.1.2,6,8080,49153,52287,52287,0,0.906119,5.060446,0.002871
18,10.0.9.2,10.0.2.1,6,8080,49153,12883,12883,0,0.221230,30.430002,0.391811
19,10.0.6.2,10.0.0.1,6,8080,49153,61903,61903,0,1.072707,6.649680,0.011583
20,10.0.9.2,10.0.5.2,6,8080,49153,12139,12139,0,0.209650,31.735414,0.396105
21,10.0.2.2,10.0.12.2,6,8080,49153,12082,12082,0,0.208496,27.516175,0.517636
22,10.0.2.2,10.0.18.1,6,8080,49153,13365,13365,0,0.229767,26.873141,0.453708
